src,relation,dst,extra_json
contract:spank_chain_payment,hasStateVar,statevar:spank_chain_payment.NAME,"{""_layers"": [""stage1_ast""]}"
contract:spank_chain_payment,hasStateVar,statevar:spank_chain_payment.VERSION,"{""_layers"": [""stage1_ast""]}"
contract:spank_chain_payment,hasStateVar,statevar:spank_chain_payment.numChannels,"{""_layers"": [""stage1_ast""]}"
contract:spank_chain_payment,hasStateVar,statevar:spank_chain_payment.virtualChannels,"{""_layers"": [""stage1_ast""]}"
contract:spank_chain_payment,hasStateVar,statevar:spank_chain_payment.Channels,"{""_layers"": [""stage1_ast""]}"
contract:spank_chain_payment,hasFunction,function:spank_chain_payment.createChannel,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.createChannel,hasModifier,modifier:spank_chain_payment.createChannel.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.createChannel,containsStmt,stmt:spank_chain_payment.createChannel.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.createChannel,entryPointIs,stmt:spank_chain_payment.createChannel.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.1,containsRequire,require:spank_chain_payment.createChannel.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.1,containsCall,call:spank_chain_payment.createChannel.1.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.createChannel,containsStmt,stmt:spank_chain_payment.createChannel.2,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.1,hasNext,stmt:spank_chain_payment.createChannel.2,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.2,containsRequire,require:spank_chain_payment.createChannel.2.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.createChannel,containsStmt,stmt:spank_chain_payment.createChannel.3,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.2,hasNext,stmt:spank_chain_payment.createChannel.3,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.3,containsRequire,require:spank_chain_payment.createChannel.3.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.createChannel,containsStmt,stmt:spank_chain_payment.createChannel.4,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.3,hasNext,stmt:spank_chain_payment.createChannel.4,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.4,containsAssignment,assign:spank_chain_payment.createChannel.4.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.createChannel,containsStmt,stmt:spank_chain_payment.createChannel.5,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.4,hasNext,stmt:spank_chain_payment.createChannel.5,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.5,containsAssignment,assign:spank_chain_payment.createChannel.5.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.createChannel,containsStmt,stmt:spank_chain_payment.createChannel.6,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.5,hasNext,stmt:spank_chain_payment.createChannel.6,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.6,containsAssignment,assign:spank_chain_payment.createChannel.6.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.6,containsRequire,require:spank_chain_payment.createChannel.6.1,"{""_layers"": [""stage1_ast""]}"
function:spank_chain_payment.createChannel,containsStmt,stmt:spank_chain_payment.createChannel.7,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.6,hasNext,stmt:spank_chain_payment.createChannel.7,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.7,containsAssignment,assign:spank_chain_payment.createChannel.7.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.7,containsAssignment,assign:spank_chain_payment.createChannel.7.2,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.7,containsCall,call:spank_chain_payment.createChannel.7.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.7,containsRequire,require:spank_chain_payment.createChannel.7.1,"{""_layers"": [""stage1_ast""]}"
stmt:spank_chain_payment.createChannel.7,containsCall,call:spank_chain_payment.createChannel.7.2,"{""_layers"": [""stage1_ast""]}"
